symptoms,disease,symptoms_processed
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
I have a rash around my nose and lips that is red and painful. It has some yellow fluid coming out of it.,Impetigo,rash around nose lip red painful yellow fluid come
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort foul smell urine continuous feel urine
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"vomiting,fatigue,anxiety,sweating,headache,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"I have small dents in my nails. My joints are hurting a lot. I have a silver like dusting on my skin, especially on my back.",Psoriasis,small dent nails joint hurt lot silver like dust skin especially back
I have been losing weight and having trouble gaining weight. I have pain and discomfort in my stomach that is relieved by taking antacids. My mouth tastes bad.,Peptic Ulcer Disease,lose weight trouble gain weight pain discomfort stomach relieve take antacid mouth taste bad
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
I have a rash all over my body. It's really itchy and uncomfortable. I'm also feeling really tired and exhausted.,Chicken Pox,rash body really itchy uncomfortable also feel really tire exhaust
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"itching,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch stomach pain burn micturition spot urination
"joint pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain knee pain hip joint pain swell joint painful walk
"chills,vomiting,high fever,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever headache nausea diarrhoea muscle pain
I have a rash all over my body that is itchy and red. Some of the patches are a different color than my skin and there are some lumps or pimples on my skin.,Fungal Infection,rash body itchy red patch different color skin lump pimple skin
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint painful walk
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea constipation diarrhoea toxic look typhos ), belly pain"
"joint pain,vomiting,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine loss appetite abdominal pain yellow eye
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"joint pain,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"I've been feeling really itchy all over, and I've been throwing up. I've also lost a lot of weight, and I'm always tired. My skin and my pee are both yellow, and my stomach hurts.",Jaundice,feel really itchy throw also lose lot weight always tire skin pee yellow stomach hurt
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"I've gained a lot of weight and am now quite fat. My appetite varies, and I have cravings for various things.",Drug Reaction,gain lot weight quite fat appetite varies crave various thing
I have trouble breathing and my face and chest are swollen. My eyes are itchy and I have a dry cough.,Allergy,trouble breathe face chest swell eye itchy dry cough
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
I have a lot of itchy bumps on my skin that sometimes turn red or rough. I also have some strange pimples that look like little balls and some weird spots that are a different color than the rest of my skin.,Fungal Infection,lot itchy bump skin sometimes turn red rough also strange pimple look like little ball weird spot different color rest skin
"vomiting,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit weakness one body side alter sensorium
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise chest pain fast heart rate rusty sputum
I have noticed that my legs are swollen and the blood vessels are visible. I have swollen legs and I can see a stream of swollen veins on my calves.,Varicose Veins,notice leg swell blood vessel visible swollen leg see stream swollen vein calf
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
